1 2 3 4
407 5 2 2
408 3 2 2
409 2 6 0
410 4 7 10
411 13 8 10
412 2 6 2
413 12 0 8
414 20 7 7
415 1 6 10
416 11 5 9
417 10 7 2
418 14 0 9
419 14 1 1
420 18 2 1
421 10 10 6
422 19 1 10
423 10 6 9
424 20 2 1
425 1 5 1
426 7 3 3
427 7 4 7
428 0 6 10
429 13 5 2
430 9 9 4
431 20 5 2
432 19 5 10
433 14 9 10
434 1 0 8
435 18 9 6
436 3 5 4
437 4 5 0
438 15 9 4
439 10 9 5
440 17 2 7
441 18 6 9
442 15 4 10
443 18 1 8
444 16 1 7
445 10 7 3
446 15 0 5
447 4 4 7
448 19 2 1
449 19 6 9
450 14 10 6
451 17 3 8
452 0 2 4
453 6 8 5
454 7 9 6
455 4 4 1
456 4 0 4
457 3 3 8
458 11 3 5
459 15 4 7
460 19 7 2
461 7 4 5
462 18 0 7
463 7 6 7
464 4 6 6
465 5 6 2
466 14 8 6
467 13 3 0
468 4 10 10
469 12 8 7
470 13 8 10
471 17 1 5
472 18 10 10
473 18 6 4
474 18 8 6
475 7 9 3
476 14 2 9
477 15 9 7
478 2 6 8
479 7 1 3
480 7 1 3
481 14 2 2
482 12 2 6
483 18 4 2
484 2 3 2
485 16 1 4
486 16 0 2
487 13 7 0
488 19 10 4
489 0 5 6
490 3 2 7
491 5 1 4
492 10 8 3
493 5 1 8
494 7 10 9
495 4 3 6
496 16 9 5
497 2 2 3
498 20 4 0
499 18 9 6
500 2 6 5
501 16 8 3
502 0 1 8
503 9 6 2
504 13 0 8
505 19 2 3
506 12 10 9
507 11 10 4
508 1 10 3
509 17 8 10
510 18 9 6
511 4 2 2
512 9 3 9
513 18 3 0
514 16 6 6
515 13 5 8
516 10 2 7
517 18 8 8
518 7 3 1
519 0 4 2
520 13 5 7
521 2 8 8
522 9 1 5
523 20 0 10
524 4 10 1
525 4 7 3
526 5 9 4
527 0 5 9
528 10 2 8
529 17 10 1
530 13 10 6
531 20 7 1
532 13 6 9
533 8 9 5
534 16 9 1
535 20 3 0
536 5 5 5
537 12 1 3
538 6 8 5
539 8 1 8
540 11 9 8
541 20 5 1
542 8 1 8
543 3 4 5
544 5 3 5
545 6 8 4
546 10 9 7
547 14 4 2
548 2 4 10
549 9 9 8
550 8 0 7
551 4 5 6
552 6 6 10
553 11 8 2
554 6 2 1
555 7 1 3
556 1 2 2
557 16 10 2
558 11 0 7
559 1 5 6
560 11 8 4
561 5 9 0
562 17 8 9
563 17 0 0
564 10 9 1
565 2 2 9
566 10 4 3
567 15 10 8
568 12 7 1
569 12 1 1
570 12 1 4
571 13 4 6
572 7 6 9
573 13 3 2
574 1 8 10
575 9 0 2
576 4 3 5
577 10 4 8
578 11 9 6
579 5 5 7
580 4 7 4
581 7 1 4
582 6 2 10
583 10 2 3
584 5 1 9
585 4 7 0
586 12 6 0
587 4 5 4
588 18 0 4
589 4 3 2
590 18 9 5
591 7 8 7
592 17 5 10
593 2 4 9
594 18 3 6
595 2 1 6
596 11 2 9
597 2 8 5
598 12 10 8
599 7 2 9
600 18 0 0
601 11 5 5
602 5 2 1
603 20 2 8
604 0 3 6
605 14 10 1
606 1 5 5
607 13 10 7
608 14 3 5
609 13 3 2
610 20 2 8
611 15 4 4
612 12 4 3
613 12 9 10
614 19 0 1
615 5 8 0
616 14 10 5
617 2 9 2
618 14 0 3
619 6 5 6
620 18 9 9
621 0 8 1
622 15 8 6
623 1 2 0
624 19 5 2
625 6 3 6
626 20 2 4
627 19 3 5
628 14 7 9
629 14 3 3
630 10 4 10
631 15 1 2
632 18 7 7
633 8 3 10
634 17 1 8
635 5 8 1
636 18 9 2
637 11 8 6
638 6 7 9
639 10 1 3
640 0 0 0
641 11 9 2
642 7 1 5
643 6 9 3
644 14 7 1
645 4 8 3
646 10 3 1
647 18 10 5
648 6 10 1
649 3 1 4
650 13 1 5
651 18 3 8
652 1 8 5
653 8 8 10
654 4 1 1
655 6 1 0
656 16 10 3
657 15 9 4
658 4 2 4
659 0 7 1
660 11 7 7
661 10 5 7
662 14 3 6
663 20 6 8
664 14 3 8
665 20 9 3
666 3 7 5
667 14 10 2
668 15 0 0
669 13 4 6
670 1 0 7
671 14 0 7
672 12 9 9
673 20 2 4
674 18 4 2
675 1 9 1
676 12 4 6
677 18 8 4
678 3 10 7
679 8 3 10
680 17 10 1
681 0 7 8
682 12 8 4
683 10 7 9
684 18 0 7
685 17 5 9
686 15 0 0
687 12 7 10
688 13 1 3
689 9 9 2
690 17 0 3
691 14 8 10
692 17 1 6
693 2 4 6
694 8 0 9
695 14 10 8
696 5 7 5
697 18 2 4
698 0 4 4
699 4 9 7
700 7 10 7
701 20 2 4
702 11 7 5
703 3 5 6
704 11 3 7
705 14 5 7
706 2 4 10
707 7 9 9
708 16 0 7
709 15 7 4
710 5 2 6
711 0 9 9
712 0 6 9
713 10 9 1
714 11 2 7
715 16 5 0
716 4 5 1
717 4 3 7
718 7 1 2
719 0 7 4
720 8 0 6
721 11 9 3
722 18 6 3
723 13 6 4
724 7 2 8
725 14 4 6
726 12 5 9
727 2 5 2
728 14 3 3
729 13 7 4
730 5 10 10
731 4 1 9
732 19 2 5
733 17 0 1
734 12 3 8
735 14 9 3
736 10 10 5
737 20 6 6
738 7 1 4
739 2 3 8
740 0 1 6
741 10 2 1
742 14 5 5
743 14 6 1
744 11 5 8
745 8 2 1
746 6 1 5
747 12 10 7
748 5 8 1
749 12 8 1
750 13 10 9
751 2 3 6
752 12 0 3
753 4 1 8
754 5 8 5
755 18 7 2
756 10 2 1
757 9 2 2
758 2 2 3
759 20 5 7
760 18 5 3
761 10 10 1
762 12 4 5
763 20 9 7
764 8 2 8
765 4 0 6
766 16 6 9
767 5 9 2
768 19 10 4
769 8 6 4
770 16 5 1
771 5 8 4
772 13 10 1
773 8 3 2
774 12 10 5
775 6 1 4
776 17 7 0
777 12 1 2
778 18 4 5
779 17 7 4
780 13 0 5
781 9 3 3
782 13 1 4
783 19 3 2
784 15 7 8
785 20 7 2
786 16 1 2
787 16 7 4
788 14 0 5
789 19 9 1
790 10 7 1
791 13 4 6
792 0 0 8
793 9 2 1
794 19 5 10
795 1 1 5
796 15 2 6
797 20 5 2
798 7 7 1
799 5 0 8
800 19 5 10
801 7 9 6
802 10 9 3
803 7 10 0
804 8 10 6
805 4 5 5
806 0 5 0
807 0 4 4
808 2 8 2
809 16 4 10
810 10 5 3
811 13 1 1
812 6 8 0
813 15 3 7
814 20 3 1
815 14 1 5
816 13 8 6
817 15 2 4
818 20 3 9
819 11 3 9
820 4 1 4
821 18 5 3
822 12 2 0
823 13 3 4
824 0 4 0
825 6 8 5
826 15 7 6
827 18 0 1
828 11 8 8
829 7 7 3
830 15 5 7
831 18 2 5
832 16 2 6
833 7 4 0
834 19 0 6
835 2 6 9
836 5 9 4
837 17 10 6
838 1 1 8
839 17 3 7
840 3 7 6
841 4 3 9
842 14 9 0
843 5 7 1
844 16 7 10
845 0 8 3
846 20 10 0
847 5 3 4
848 12 4 6
849 10 9 8
850 12 8 8
851 2 6 5
852 13 2 0
853 11 0 8
854 8 7 7
855 10 9 5
856 7 6 8
857 5 10 2
858 12 6 1
859 20 4 5
860 7 3 6
861 3 0 5
862 4 10 4
863 16 0 10
864 13 6 7
865 7 4 6
866 14 9 7
867 12 2 0
868 2 5 2
869 15 10 5
870 0 4 2
871 11 7 10
872 3 0 6
873 20 0 9
874 15 7 4
875 16 5 3
876 13 2 4
877 18 1 1
878 11 6 1
879 4 1 2
880 0 2 9
881 5 4 1
882 15 8 8
883 5 4 3
884 7 3 0
885 8 5 2
886 1 4 9
887 15 3 5
888 12 7 10
889 0 1 10
890 8 0 0
891 3 4 10
892 2 1 0
893 1 4 6
894 1 0 4
895 2 6 10
896 19 7 0
897 0 0 1
898 7 10 8
899 9 2 8
900 17 6 2
901 1 8 7
902 6 8 5
903 8 2 3
904 19 3 0
905 11 1 10
906 1 5 7
907 5 6 1
908 15 5 3
909 3 6 3
910 7 2 0
911 16 8 10
912 15 7 7
913 9 1 4
914 13 6 6
915 11 3 0
916 7 1 9
917 11 0 9
918 17 0 0
919 18 10 9
920 9 3 10
921 5 5 9
922 8 2 8
923 2 5 4
924 3 2 1
925 6 10 9
926 9 10 2
927 20 6 0
928 16 6 8
929 3 0 7
930 0 8 7
931 20 4 3
932 0 8 6
933 18 6 10
934 20 6 2
935 13 0 6
936 19 2 4
937 10 4 9
938 13 6 7
939 11 3 2
940 0 1 7
941 1 5 7
942 15 4 0
943 4 10 5
944 16 5 0
945 11 0 5
946 4 5 2
947 9 6 4
948 1 8 0
949 3 1 2
950 0 8 7
951 7 6 7
952 2 4 6
953 4 10 9
954 0 5 10
955 11 5 10
956 5 6 1
957 17 4 2
958 6 8 6
959 19 3 10
960 3 3 0
961 11 1 4
962 16 0 1
963 7 10 0
964 2 10 8
965 14 4 10
966 20 2 4
967 16 3 5
968 5 8 8
969 2 10 9
970 9 0 10
971 14 7 0
972 12 7 6
973 13 5 5
974 4 9 4
975 14 2 2
976 20 0 4
977 20 8 5
978 17 6 9
979 1 9 4
980 10 4 4
981 9 9 3
982 16 6 0
983 14 3 6
984 5 2 4
985 0 7 7
986 13 3 3
987 3 8 1
988 12 1 1
989 14 1 4
990 18 3 1
991 8 5 5
992 19 9 9
993 17 0 9
994 0 7 10
995 11 7 7
996 11 10 9
997 20 4 4
998 0 1 2
999 9 9 10
1000 17 8 3
1001 12 7 1
1002 10 7 0
1003 4 6 0
1004 15 8 8
1005 7 1 0
1006 7 5 3
1007 15 1 3
1008 18 1 9
1009 4 6 6
1010 16 5 7
1011 2 3 6
1012 18 0 1
1013 20 2 10
1014 12 3 2
1015 2 6 5
1016 4 6 2
1017 7 6 6
1018 10 9 0
1019 12 9 0
1020 11 6 0
1021 16 1 8
1022 14 7 8
1023 6 5 1
1024 6 8 2
1025 11 5 5
1026 14 6 3
1027 18 1 4
1028 17 9 4
1029 8 8 6
1030 15 6 7
1031 7 10 0
1032 9 9 9
1033 5 3 3
1034 10 4 10
1035 3 5 8
1036 15 0 8
1037 14 7 8
1038 0 7 6
1039 20 0 0
1040 12 8 10
1041 11 7 10
1042 11 3 0
1043 18 3 7
1044 4 8 10
1045 8 2 1
1046 5 9 7
1047 13 3 9
1048 11 3 8
1049 12 0 6
1050 5 1 10
1051 0 0 9
1052 12 5 8
1053 11 3 10
1054 0 0 4
1055 8 2 1
1056 16 10 5
1057 14 8 4
1058 10 1 5
1059 13 6 0
1060 16 7 8
1061 6 5 5
1062 6 10 4
1063 11 5 10
1064 0 7 3
1065 7 2 8
1066 8 4 8
1067 8 2 0
1068 9 7 2
1069 11 2 7
1070 16 2 9
1071 9 8 2
1072 2 0 6
1073 10 1 6
1074 11 8 1
1075 20 10 5
1076 14 1 9
1077 11 10 7
1078 2 3 3
1079 10 2 2
1080 8 7 4
1081 17 10 8
1082 14 7 10
1083 9 10 6
1084 7 9 4
1085 19 9 5
1086 10 1 2
1087 15 1 7
1088 0 5 2
1089 9 4 6
1090 10 5 9
1091 18 8 5
1092 15 1 0
1093 18 6 8
1094 7 5 2
1095 10 0 0
1096 13 2 7
1097 9 4 4
1098 17 4 6
1099 12 5 7
1100 3 4 6
1101 19 4 2
1102 16 8 7
1103 1 8 0
1104 4 6 1
1105 5 8 9
1106 11 10 2
1107 16 6 4
1108 7 8 5
1109 18 8 7
1110 20 3 2
1111 13 2 7
1112 0 1 7
1113 5 0 6
1114 11 8 9
1115 10 1 5
1116 15 8 4
1117 19 4 6
1118 12 2 4
1119 19 0 6
1120 13 3 6
1121 4 4 9
1122 5 4 6
1123 12 4 6
1124 16 1 2
1125 20 9 3
1126 6 6 4
1127 5 0 0
1128 4 4 5
1129 15 3 7
1130 2 4 2
1131 16 1 8
1132 0 5 3
1133 1 2 10
1134 4 6 5
1135 17 8 1
1136 10 1 6
1137 12 0 5
1138 3 10 10
1139 14 4 5
1140 0 8 4
1141 14 1 3
1142 20 4 10
1143 19 4 3
1144 3 3 0
1145 8 5 10
1146 19 3 10
1147 11 7 7
1148 14 0 8
1149 2 5 7
1150 0 2 2
1151 17 7 2
1152 1 0 7
1153 0 10 10
1154 13 0 7
1155 10 0 0
1156 5 3 1
1157 20 8 2
1158 13 8 1
1159 10 10 0
1160 9 8 9
1161 20 8 1
1162 11 10 10
1163 0 2 5
1164 9 5 0
1165 17 0 9
1166 17 0 6
1167 14 6 9
1168 18 7 9
1169 4 1 4
1170 10 10 0
1171 17 10 5
1172 8 6 9
1173 0 2 8
1174 17 1 7
1175 6 5 4
1176 12 10 6
1177 16 8 1
1178 8 10 7
1179 2 2 7
1180 12 0 9
1181 12 9 7
1182 17 7 1
1183 1 7 7
1184 15 10 10
1185 14 8 8
1186 19 3 3
1187 11 2 10
1188 16 5 10
1189 5 10 1
1190 5 7 9
1191 16 10 2
1192 2 2 4
1193 15 2 10
1194 14 4 7
1195 18 3 2
1196 10 8 10
1197 20 1 10
1198 19 4 3
1199 14 0 9
1200 2 4 6
1201 0 9 5
1202 2 0 1
1203 20 6 9
1204 16 3 8
1205 11 9 10
1206 3 7 2
1207 5 2 10
1208 14 2 0
1209 16 7 5
1210 16 7 3
1211 17 1 0
1212 3 2 7
1213 3 6 0
1214 19 10 1
1215 8 0 3
1216 1 10 9
1217 11 2 0
1218 8 1 10
1219 3 10 3
1220 14 8 5
1221 13 3 4
1222 11 9 7
1223 13 1 1
1224 6 0 3
1225 7 2 10
1226 5 2 9
1227 5 6 2
1228 3 2 9
1229 6 7 8
1230 15 9 10
1231 12 6 0
1232 15 0 9
1233 8 0 4
1234 15 5 3
1235 15 6 8
1236 0 5 0
1237 2 4 7
1238 5 10 0
1239 5 7 4
1240 18 9 4
1241 2 7 5
1242 18 10 6
1243 13 6 1
1244 7 8 1
1245 14 7 5
1246 8 3 2
1247 13 1 4
1248 18 10 1
1249 17 3 2
1250 10 8 5
1251 5 5 0
1252 4 5 3
1253 1 9 5
1254 9 5 7
1255 16 0 1
1256 19 4 1
1257 15 5 5
1258 16 1 9
1259 4 5 3
1260 1 10 4
1261 12 6 1
1262 18 5 2
1263 6 3 6
1264 2 3 9
1265 3 7 2
1266 14 2 9
1267 10 6 8
1268 16 6 3
1269 19 5 1
1270 18 2 3
1271 7 8 8
1272 0 4 5
1273 14 2 3
1274 3 1 9
1275 17 6 9
1276 1 0 8
1277 18 10 0
1278 8 6 8
1279 2 3 3
1280 3 8 10
1281 1 3 7
1282 7 4 7
1283 11 10 7
1284 0 3 2
1285 6 7 2
1286 8 8 6
1287 17 10 2
1288 17 9 4
1289 7 3 7
1290 4 6 9
1291 13 10 9
1292 19 5 2
1293 19 1 7
1294 3 3 10
1295 5 5 3
1296 11 0 5
1297 18 2 5
1298 10 1 1
1299 18 3 5
1300 6 1 9
1301 9 7 8
1302 12 2 9
1303 12 3 10
1304 15 8 9
1305 18 0 5
1306 11 0 0
1307 5 7 9
1308 9 10 4
1309 17 2 10
1310 10 4 8
1311 7 10 10
1312 8 8 5
1313 13 8 9
1314 14 3 2
1315 19 10 9
1316 11 6 3
1317 20 5 8
1318 2 5 9
1319 6 2 4
1320 0 2 4
1321 1 10 2
1322 0 8 3
1323 7 0 0
1324 14 4 7
1325 16 5 6
1326 2 2 0
1327 5 6 0
1328 17 1 10
1329 1 5 0
1330 17 10 2
1331 8 2 0
1332 9 3 2
1333 0 0 2
1334 6 7 7
1335 3 6 0
1336 16 8 5
1337 10 3 3
1338 16 8 2
1339 18 5 5
1340 10 1 5
1341 3 0 4
1342 3 10 0
1343 4 8 2
1344 2 8 9
1345 12 4 4
1346 4 5 4
1347 13 1 1
1348 15 3 6
1349 13 1 2
1350 2 9 3
1351 15 3 6
1352 8 6 1
1353 16 8 2
1354 10 6 2
1355 15 7 2
1356 19 1 9
1357 16 3 0
1358 10 4 4
1359 15 4 10
1360 4 5 7
1361 11 4 0
1362 10 0 4
1363 20 3 5
1364 14 10 6
1365 4 0 0
1366 13 0 0
1367 2 6 5
1368 13 5 3
1369 17 1 3
1370 18 1 4
1371 16 1 1
1372 8 3 8
1373 7 5 6
1374 11 1 2
1375 3 7 3
1376 6 0 3
1377 7 2 7
1378 11 3 1
1379 12 0 8
1380 4 3 3
1381 3 8 2
1382 17 7 2
1383 14 10 1
1384 17 2 3
1385 3 8 5
1386 16 6 1
1387 5 9 4
1388 4 3 1
1389 3 7 2
1390 13 2 5
1391 10 6 3
1392 13 7 6
1393 10 8 0
1394 14 4 1
1395 9 4 6
1396 10 10 9
1397 6 3 6
1398 1 2 5
1399 6 0 1
1400 5 8 4
1401 18 2 2
1402 13 2 8
1403 12 6 0
1404 12 5 5
1405 10 10 4
1406 17 5 6
1407 14 1 9
1408 14 4 6
1409 17 10 4
1410 8 4 7
1411 11 1 6
1412 7 3 1
1413 10 4 2
1414 11 2 3
1415 20 7 9
1416 20 10 0
1417 14 3 9
1418 12 6 0
1419 16 7 2
1420 13 6 3
1421 2 3 2
1422 3 6 6
1423 18 2 2
1424 5 10 9
1425 5 7 6
1426 18 0 1
1427 7 5 6
1428 10 7 9
1429 2 4 2
1430 13 9 10
1431 13 4 7
1432 18 2 6
1433 9 2 10
1434 1 8 2
1435 19 9 3
1436 6 2 6
1437 4 3 7
1438 11 9 9
1439 14 6 9
1440 17 8 4
1441 17 7 6
1442 15 0 4
1443 17 7 1
1444 10 0 10
1445 13 7 5
1446 17 9 6
1447 8 0 9
1448 2 7 3
1449 17 7 1
1450 19 5 1
1451 8 8 8
1452 8 9 7
1453 12 9 3
1454 12 4 2
1455 3 3 6
1456 6 6 7
1457 18 6 7
1458 16 0 7
1459 16 9 9
1460 8 1 8
1461 4 7 6
1462 3 8 2
1463 14 0 6
1464 1 1 4
1465 8 8 6
1466 17 8 3
1467 20 4 4
1468 16 8 4
1469 4 1 8
1470 13 1 1
1471 6 1 4
1472 7 2 6
1473 4 8 9
1474 19 0 1
1475 15 3 2
1476 2 0 6
1477 11 8 9
1478 2 5 10
1479 3 0 10
1480 20 9 2
1481 3 10 1
1482 18 5 9
1483 15 9 2
1484 2 1 7
1485 6 10 0
1486 15 4 10
1487 14 6 7
1488 4 6 5
1489 7 10 10
1490 18 2 6
1491 6 6 0
1492 17 8 5
1493 0 9 0
1494 9 3 9
1495 18 4 2
1496 19 10 8
1497 6 6 2
1498 11 2 3
1499 11 4 3
1500 5 4 10
1501 17 4 6
1502 6 9 5
1503 20 0 4
1504 19 3 2
1505 20 9 6
1506 18 2 8
1507 4 6 9
1508 5 5 4
1509 7 10 2
1510 1 5 2
1511 0 9 7
1512 15 8 2
1513 1 4 9
1514 7 5 9
1515 15 4 10
1516 17 6 7
1517 19 5 7
1518 9 8 9
1519 4 2 10
1520 13 6 2
1521 19 3 10
1522 1 4 7
1523 14 9 8
1524 3 0 0
1525 15 2 2
1526 13 1 10
1527 18 1 2
1528 11 0 6
1529 14 7 9
1530 8 3 7
1531 2 8 0
1532 8 1 2
1533 0 7 6
1534 0 0 3
1535 11 9 4
1536 11 0 8
1537 6 4 8
1538 18 1 10
1539 10 1 0
1540 20 3 10
1541 8 5 3
1542 6 7 1
1543 4 10 6
1544 15 3 9
1545 6 5 7
1546 3 10 6
1547 13 0 1
1548 17 6 4
1549 11 8 9
1550 5 6 6
1551 20 8 1
1552 6 5 7
1553 13 5 9
1554 1 7 8
1555 16 9 0
1556 7 7 6
1557 17 9 9
1558 1 8 8
1559 10 10 4
1560 5 5 5
1561 6 5 6
1562 1 4 10
1563 14 7 2
1564 6 6 6
1565 3 1 5
1566 6 3 0
1567 8 4 7
1568 0 9 7
1569 7 3 1
1570 19 10 1
1571 5 6 6
1572 13 5 9
1573 20 0 3
1574 14 2 4
1575 7 5 10
1576 10 0 10
1577 9 10 2
1578 7 0 9
1579 14 10 2
1580 14 9 10
1581 11 2 2
1582 0 5 7
1583 17 0 4
1584 9 6 4
1585 20 1 10
1586 17 1 3
1587 5 6 3
1588 6 0 7
1589 7 5 7
1590 17 4 9
1591 7 3 10
1592 7 8 6
1593 8 4 4
1594 15 5 4
1595 19 3 8
1596 6 10 6
1597 1 3 4
1598 4 6 4
1599 11 9 0
1600 10 6 5
1601 12 2 3
1602 6 3 0
1603 12 10 0
1604 10 0 1
1605 18 0 10
1606 3 9 5
1607 6 3 8
1608 5 5 10
1609 12 0 2
1610 4 9 3
1611 7 10 1
1612 0 6 9
1613 10 1 6
1614 3 8 5
1615 12 8 7
1616 16 6 2
1617 18 10 7
1618 10 9 6
1619 19 8 9
1620 4 3 3
1621 13 6 9
1622 20 1 4
1623 14 3 3
1624 19 4 1
1625 5 7 4
1626 1 9 6
1627 17 3 8
1628 11 2 1
1629 3 7 2
1630 8 10 5
1631 15 0 2
1632 4 0 9
1633 15 0 4
1634 12 9 4
1635 4 0 9
1636 11 2 4
1637 6 1 4
1638 17 2 3
1639 13 3 5
1640 19 1 5
1641 12 4 9
1642 19 6 2
1643 5 6 5
1644 14 4 2
1645 14 1 4
1646 10 8 5
1647 2 5 9
1648 7 6 8
1649 13 8 7
1650 14 6 3
1651 0 0 5
1652 12 0 5
1653 0 3 5
1654 6 2 9
1655 4 7 9
1656 7 6 7
1657 6 7 6
1658 9 1 5
1659 3 7 2
1660 14 10 2
1661 14 10 9
1662 9 5 1
1663 13 7 1
1664 10 0 8
1665 17 0 2
